ball_id,team_id,inning,current_over,ball,balls,run,is_boundry,extra_type_code,extra_run,is_out,out_how,dismiss_type_code,dismiss_type,dismiss_player_id,video_url,thumbnail_url,videos_url,commentary
1222,1245132,2,8,7.4,0,0,0,,0,0,,,,0,,,[],"Farhan P to Rakesh Chaudhary, no run"
1221,1245132,2,8,7.3,0,1,0,,0,0,,,,0,,,[],"Farhan P to AfzaL Keasri, 1 run"
1220,1245132,2,8,7.2,0,1,0,,0,0,,,,0,,,[],"Farhan P to Rakesh Chaudhary, 1 run"
1219,1245132,2,8,7.1,0,1,0,,0,0,,,,0,,,[],"Farhan P to AfzaL Keasri, 1 run"
1218,1245132,2,7,7.0,0,0,0,,0,0,,,,0,,,[],"Rohan Chauhan to Rakesh Chaudhary, no run"
1217,1245132,2,7,6.5,0,1,0,,0,0,,,,0,,,[],"Rohan Chauhan to AfzaL Keasri, 1 run"
1216,1245132,2,7,6.4,0,0,0,,0,0,,,,0,,,[],"Rohan Chauhan to AfzaL Keasri, no run"
1215,1245132,2,7,6.3,0,1,0,,0,0,,,,0,,,[],"Rohan Chauhan to Rakesh Chaudhary, 1 run"
1214,1245132,2,7,6.2,0,1,0,,0,0,,,,0,,,[],"Rohan Chauhan to AfzaL Keasri, 1 run"
1213,1245132,2,7,6.1,0,1,0,,0,0,,,,0,,,[],"Rohan Chauhan to Rakesh Chaudhary, 1 run"
1212,1245132,2,6,6.0,0,1,0,,0,0,,,,0,,,[],"Farhan P to Rakesh Chaudhary, 1 run"
1211,1245132,2,6,5.5,0,0,0,,0,0,,,,0,,,[],"Farhan P to Rakesh Chaudhary, no run"
1210,1245132,2,6,5.4,0,1,0,,0,0,,,,0,,,[],"Farhan P to AfzaL Keasri, 1 run"
1209,1245132,2,6,5.3,0,0,0,,0,0,,,,0,,,[],"Farhan P to AfzaL Keasri, no run"
1208,1245132,2,6,5.2,0,1,0,,0,0,,,,0,,,[],"Farhan P to Rakesh Chaudhary, 1 run"
1207,1245132,2,6,5.1,0,0,0,,0,0,,,,0,,,[],"Farhan P to Rakesh Chaudhary, no run"
1206,1245132,2,5,5.0,0,1,0,,0,0,,,,0,,,[],"Aakash  to Rakesh Chaudhary, 1 run"
1205,1245132,2,5,4.5,0,0,0,,0,0,,,,0,,,[],"Aakash  to Rakesh Chaudhary, no run"
1204,1245132,2,5,4.4,0,4,1,,0,0,,,,0,,,[],"Aakash  to Rakesh Chaudhary, FOUR,  to Deep cover point"
1203,1245132,2,5,4.3,0,4,1,,0,0,,,,0,,,[],"Aakash  to Rakesh Chaudhary, FOUR,  to Long-on"
1202,1245132,2,5,4.3,0,0,0,WD,0,0,,,,0,,,[],"Aakash  to Rakesh Chaudhary, wide"
1201,1245132,2,5,4.2,0,1,0,,0,0,,,,0,,,[],"Aakash  to AfzaL Keasri, 1 run"
1200,1245132,2,5,4.1,0,0,0,,0,0,,,,0,,,[],"Aakash  to AfzaL Keasri, no run"
1199,1245132,2,4,4.0,0,1,0,,0,0,,,,0,,,[],"Rudra Patel to AfzaL Keasri, 1 run"
1198,1245132,2,4,3.5,0,0,0,,0,0,,,,0,,,[],"Rudra Patel to AfzaL Keasri, no run"
1197,1245132,2,4,3.4,0,1,0,,0,0,,,,0,,,[],"Rudra Patel to Rakesh Chaudhary, 1 run"
1196,1245132,2,4,3.4,0,0,0,WD,0,0,,,,0,,,[],"Rudra Patel to Rakesh Chaudhary, wide"
1195,1245132,2,4,3.4,0,0,0,WD,0,0,,,,0,,,[],"Rudra Patel to Rakesh Chaudhary, wide"
1194,1245132,2,4,3.3,0,4,1,,0,0,,,,0,,,[],"Rudra Patel to Rakesh Chaudhary, FOUR,  to Straight long-off"
1193,1245132,2,4,3.2,0,0,0,,0,0,,,,0,,,[],"Rudra Patel to Rakesh Chaudhary, no run"
1192,1245132,2,4,3.1,0,0,0,,0,0,,,,0,,,[],"Rudra Patel to Rakesh Chaudhary, no run"
1191,1245132,2,4,3.1,0,0,0,WD,0,0,,,,0,,,[],"Rudra Patel to Rakesh Chaudhary, wide"
1190,1245132,2,3,3.0,0,0,0,,0,0,,,,0,,,[],"Aakash  to AfzaL Keasri, no run"
1189,1245132,2,3,3.0,0,0,0,WD,0,0,,,,0,,,[],"Aakash  to AfzaL Keasri, wide"
1188,1245132,2,3,2.5,0,0,0,,0,1,A.J DAVE  b Aakash  (0r 1b 0x4s 0x6s SR: 0.00),,Bowled,2212,,,[],"Aakash  to A.J DAVE , OUT Bowled"
1187,1245132,2,3,2.4,0,0,0,,0,1,Bhatuk Yunus lbw b Aakash  (16r 9b 2x4s 1x6s SR: 177.78),,LBW,41170,,,[],"Aakash  to Bhatuk Yunus, OUT LBW"
1186,1245132,2,3,2.3,0,0,0,,0,0,,,,0,,,[],"Aakash  to Bhatuk Yunus, no run"
1185,1245132,2,3,2.2,0,0,1,B,4,0,,,,0,,,[],"Aakash  to Bhatuk Yunus, bye, 4 runs"
1184,1245132,2,3,2.1,0,1,0,,0,0,,,,0,,,[],"Aakash  to Rakesh Chaudhary, 1 run"
1183,1245132,2,3,2.1,0,0,0,WD,0,0,,,,0,,,[],"Aakash  to Rakesh Chaudhary, wide"
1182,1245132,2,2,2.0,0,0,0,,0,0,,,,0,,,[],"Adnan to Bhatuk Yunus, no run"
1181,1245132,2,2,1.5,0,2,0,,0,0,,,,0,,,[],"Adnan to Bhatuk Yunus, 2 runs"
1180,1245132,2,2,1.4,0,4,1,,0,0,,,,0,,,[],"Adnan to Bhatuk Yunus, FOUR,  to Long-on"
1179,1245132,2,2,1.4,0,4,1,NB,0,0,,,,0,,,[],"Adnan to Bhatuk Yunus, (no ball), FOUR,  to Deep backward point"
1178,1245132,2,2,1.3,0,6,1,,0,0,,,,0,,,[],"Adnan to Bhatuk Yunus, SIX,  to Straight long-off"
1177,1245132,2,2,1.2,0,1,0,,0,0,,,,0,,,[],"Adnan to Rakesh Chaudhary, 1 run"
1176,1245132,2,2,1.2,0,0,0,WD,0,0,,,,0,,,[],"Adnan to Rakesh Chaudhary, wide"
1175,1245132,2,2,1.1,0,0,0,,0,0,,,,0,,,[],"Adnan to Rakesh Chaudhary, no run"
1174,1245132,2,2,1.1,0,0,0,WD,0,0,,,,0,,,[],"Adnan to Rakesh Chaudhary, wide"
1173,1245132,2,1,1.0,0,0,0,,0,0,,,,0,,,[],"Rudra Patel to Bhatuk Yunus, no run"
1172,1245132,2,1,0.5,0,1,0,,0,0,,,,0,,,[],"Rudra Patel to Rakesh Chaudhary, 1 run"
1171,1245132,2,1,0.4,0,0,0,,0,0,,,,0,,,[],"Rudra Patel to Rakesh Chaudhary, no run"
1170,1245132,2,1,0.3,0,0,0,,0,1,Salim Malek c Karan b Rudra Patel (2r 3b 0x4s 0x6s SR: 66.67),,Caught out,79009,,,[],"Rudra Patel to Salim Malek, OUT Caught out, Caught at Deep point by Karan"
1169,1245132,2,1,0.2,0,2,0,,0,0,,,,0,,,[],"Rudra Patel to Salim Malek, 2 runs"
1168,1245132,2,1,0.1,0,0,0,,0,0,,,,0,,,[],"Rudra Patel to Salim Malek, no run"
